Adj Close;Date;Table Name;Close;High;Low;Open;Volume
$3,158,300.00;12/29/2016;Page    3 Table  1;76515;77340;76085;77240;76515
$3,301,000.00;12/28/2016;Page    3 Table  1;77213;78000;77050;77625;77213
$2,638,700.00;12/27/2016;Page    3 Table  1;77140;77465;76120;76340;7714
$1,981,600.00;12/23/2016;Page    3 Table  1;76059;76650;75799;76455;76059
$2,543,600.00;12/22/2016;Page    3 Table  1;76634;77121;76302;76812;76634
$2,044,600.00;12/21/2016;Page    3 Table  1;77060;77122;76570;77000;7706
$2,703,600.00;12/20/2016;Page    3 Table  1;77122;77439;76771;76865;77122
$3,113,200.00;12/19/2016;Page    3 Table  1;76600;77050;75616;75889;766
$4,848,200.00;12/16/2016;Page    3 Table  1;75777;76513;75400;76500;75777
$3,801,900.00;12/15/2016;Page    3 Table  1;76100;76910;76031;76628;761
$5,454,800.00;12/14/2016;Page    3 Table  1;76882;78086;76281;77825;76882
$5,285,300.00;12/13/2016;Page    3 Table  1;77434;78246;76200;76496;77434
$2,963,900.00;12/12/2016;Page    3 Table  1;76012;76689;75720;76640;76012
$2,470,900.00;12/9/2016;Page    3 Table  1;76866;77025;76534;77000;76866
$3,189,600.00;12/8/2016;Page    3 Table  1;76733;77379;76519;77187;76733
$3,684,900.00;12/7/2016;Page    3 Table  1;77042;77042;75582;76455;77042
$3,794,700.00;12/6/2016;Page    4 Table  1;76472;76824;75725;76399;76472
$4,314,700.00;12/5/2016;Page    4 Table  1;75936;76149;74200;74500;75936
$3,561,300.00;12/2/2016;Page    4 Table  1;74034;74849;73670;74340;74034
$4,666,000.00;12/1/2016;Page    4 Table  1;74365;75337;73803;75241;74365
$4,625,900.00;11/30/2016;Page    4 Table  1;75057;76809;75025;76200;75057
$3,272,300.00;11/29/2016;Page    4 Table  1;76252;76989;76132;76800;76252
$4,438,800.00;11/28/2016;Page    4 Table  1;76677;77700;76424;77699;76677
$1,837,100.00;11/25/2016;Page    4 Table  1;78037;78675;77790;78650;78037
$3,540,300.00;11/23/2016;Page    4 Table  1;78012;78175;77312;78173;78012
$5,311,300.00;11/22/2016;Page    4 Table  1;78533;79240;78100;78817;78533
$4,614,600.00;11/21/2016;Page    4 Table  1;78000;78035;76511;76600;780
$4,373,400.00;11/18/2016;Page    4 Table  1;76016;76774;75764;76100;76016
$3,690,100.00;11/17/2016;Page    4 Table  1;75640;75750;74800;74932;7564
$3,648,800.00;11/16/2016;Page    4 Table  1;74649;74987;73561;73988;74649
$6,755,800.00;11/15/2016;Page    4 Table  1;74324;74678;72599;73000;74324
$7,321,300.00;11/14/2016;Page    4 Table  1;71907;74600;71010;74551;71907
$6,622,800.00;11/11/2016;Page    4 Table  1;73901;74326;72890;73573;73901
$12,747,000.00;11/10/2016;Page    4 Table  1;74238;77883;71770;77881;74238
$8,562,900.00;11/9/2016;Page    4 Table  1;77188;77750;76009;76400;77188
$3,412,600.00;11/8/2016;Page    4 Table  1;78775;79174;77910;78497;78775
$5,984,400.00;11/7/2016;Page    4 Table  1;78493;78773;77094;77164;78493
$5,122,100.00;11/4/2016;Page    4 Table  1;75505;76600;75323;76279;75505
$3,872,500.00;11/3/2016;Page    4 Table  1;76703;77700;76400;76505;76703
$5,026,500.00;11/2/2016;Page    4 Table  1;76556;78475;76355;78393;76556
$5,305,400.00;11/1/2016;Page    4 Table  1;78541;80084;77671;79900;78541
$5,413,300.00;10/31/2016;Page    4 Table  1;78982;79370;78011;78103;78982
$10,841,100.00;10/28/2016;Page    4 Table  1;77632;78949;77461;78200;77632
$7,406,400.00;10/27/2016;Page    4 Table  1;81836;83172;81543;83124;81836
$3,998,100.00;10/26/2016;Page    4 Table  1;82259;83344;82000;83276;82259
$3,248,400.00;10/25/2016;Page    4 Table  1;83518;84309;83322;83930;83518
$4,060,900.00;10/24/2016;Page    4 Table  1;83809;83830;82221;82495;83809
$2,793,000.00;10/21/2016;Page    4 Table  1;81899;81942;80900;80936;81899
$3,152,000.00;10/20/2016;Page    4 Table  1;81032;81571;80310;81399;81032
$2,090,700.00;10/19/2016;Page    4 Table  1;81769;82067;81517;82040;81769
$2,512,500.00;10/18/2016;Page    4 Table  1;81765;82326;81502;82211;81765
$3,361,500.00;10/17/2016;Page    4 Table  1;81295;82200;81168;82150;81295
$2,999,800.00;10/14/2016;Page    4 Table  1;82296;83574;82296;83508;82296
$3,091,400.00;10/13/2016;Page    4 Table  1;82928;83180;82121;82900;82928
$2,380,400.00;10/12/2016;Page    4 Table  1;83409;83767;83010;83400;83409
$3,588,200.00;10/11/2016;Page    4 Table  1;83100;84129;82835;84102;831
$1,827,100.00;10/10/2016;Page    4 Table  1;84171;84520;84027;84325;84171
$2,426,200.00;10/7/2016;Page    4 Table  1;83943;84595;83745;84579;83943
$2,684,000.00;10/6/2016;Page    4 Table  1;84166;84721;84060;84370;84166
$3,469,100.00;10/5/2016;Page    4 Table  1;84436;84567;83612;83800;84436
$2,950,300.00;10/4/2016;Page    4 Table  1;83403;84237;83026;84091;83403
$2,769,400.00;10/3/2016;Page    4 Table  1;83674;83986;83125;83600;83674
$4,430,600.00;9/30/2016;Page    4 Table  1;83731;83995;83240;83261;83731
$4,922,200.00;9/29/2016;Page    5 Table  1;82905;83750;82463;82826;82905
$4,422,100.00;9/28/2016;Page    5 Table  1;82872;83014;81703;81800;82872
$3,819,600.00;9/27/2016;Page    5 Table  1;81611;81664;80111;80185;81611
$2,651,400.00;9/26/2016;Page    5 Table  1;79916;80593;79715;80180;79916
$2,353,500.00;9/23/2016;Page    5 Table  1;80575;80775;80212;80313;80575
$4,078,900.00;9/22/2016;Page    5 Table  1;80470;80589;79427;79427;8047
$2,718,600.00;9/21/2016;Page    5 Table  1;78974;79069;77901;78325;78974
$1,937,200.00;9/20/2016;Page    5 Table  1;78022;78137;77600;77600;78022
$2,297,200.00;9/19/2016;Page    5 Table  1;77510;78194;77100;77997;7751
$5,499,200.00;9/16/2016;Page    5 Table  1;77852;78046;77166;77328;77852
$3,034,000.00;9/15/2016;Page    5 Table  1;76969;77087;75758;76200;76969
$2,523,000.00;9/14/2016;Page    5 Table  1;76109;76750;75885;76220;76109
$3,117,200.00;9/13/2016;Page    5 Table  1;76101;76989;75905;76877;76101
$3,124,700.00;9/12/2016;Page    5 Table  1;77149;77266;75600;75735;77149
$4,257,300.00;9/9/2016;Page    5 Table  1;76014;78100;76011;77936;76014
$2,030,500.00;9/8/2016;Page    5 Table  1;78406;78650;78144;78389;78406
$2,424,600.00;9/7/2016;Page    5 Table  1;78448;79079;78433;78953;78448
$3,719,800.00;9/6/2016;Page    5 Table  1;78887;78948;77022;77404;78887
$2,181,800.00;9/2/2016;Page    5 Table  1;77244;77600;77170;77411;77244
$1,792,300.00;9/1/2016;Page    5 Table  1;77062;77204;76675;77090;77062
$1,633,800.00;8/31/2016;Page    5 Table  1;76916;76964;76400;76660;76916
$1,709,200.00;8/30/2016;Page    5 Table  1;76758;77184;76556;77105;76758
$2,198,600.00;8/29/2016;Page    5 Table  1;77129;77498;76860;76872;77129
$2,776,800.00;8/26/2016;Page    5 Table  1;76900;77000;75980;76005;769
$1,623,000.00;8/25/2016;Page    5 Table  1;75922;76056;75474;75600;75922
$1,744,100.00;8/24/2016;Page    5 Table  1;75725;76341;75536;76300;75725
$1,524,100.00;8/23/2016;Page    5 Table  1;76245;76470;76100;76331;76245
$1,679,300.00;8/22/2016;Page    5 Table  1;75948;75985;75210;75750;75948
$2,343,200.00;8/19/2016;Page    5 Table  1;75731;76249;75689;76190;75731
$1,458,800.00;8/18/2016;Page    5 Table  1;76446;76517;76060;76400;76446
$1,891,100.00;8/17/2016;Page    5 Table  1;76463;76522;75920;76441;76463
$1,604,600.00;8/16/2016;Page    5 Table  1;76404;76873;76382;76862;76404
$2,118,500.00;8/15/2016;Page    5 Table  1;76849;77204;76771;77190;76849
$1,563,300.00;8/12/2016;Page    5 Table  1;77256;77315;76842;76846;77256
$2,019,700.00;8/11/2016;Page    5 Table  1;77124;77375;76912;76994;77124
$1,604,300.00;8/10/2016;Page    5 Table  1;76856;77210;76619;76980;76856
$1,876,100.00;8/9/2016;Page    5 Table  1;76831;77260;76690;76739;76831
$1,986,300.00;8/8/2016;Page    5 Table  1;76656;76700;76102;76681;76656
$2,704,400.00;8/5/2016;Page    5 Table  1;76598;76847;76309;76481;76598
$3,178,200.00;8/4/2016;Page    5 Table  1;76077;76500;75035;75370;76077
$3,581,500.00;8/3/2016;Page    5 Table  1;75464;75889;75225;75706;75464
$3,603,300.00;8/2/2016;Page    5 Table  1;76058;76501;75702;76381;76058
$3,578,200.00;8/1/2016;Page    5 Table  1;76774;77050;75706;75987;76774
$6,777,100.00;7/29/2016;Page    5 Table  1;75881;76600;75500;76500;75881
$7,617,600.00;7/28/2016;Page    5 Table  1;75261;75336;73970;74598;75261
$2,913,100.00;7/27/2016;Page    5 Table  1;73667;74094;73386;73797;73667
$2,529,700.00;7/26/2016;Page    5 Table  1;73559;74313;73275;74271;73559
$2,679,300.00;7/25/2016;Page    6 Table  1;73961;74850;73535;74655;73961
$2,277,700.00;7/22/2016;Page    6 Table  1;74486;75128;74353;74779;74486
$2,317,100.00;7/21/2016;Page    6 Table  1;74443;74936;74279;74750;74443
$2,214,000.00;7/20/2016;Page    6 Table  1;74572;74625;74070;74400;74572
$2,216,800.00;7/19/2016;Page    6 Table  1;73995;74333;73231;73250;73995
$2,954,900.00;7/18/2016;Page    6 Table  1;73607;74160;72872;73549;73607
$3,121,400.00;7/15/2016;Page    6 Table  1;73544;74655;73405;74655;73544
$2,390,500.00;7/14/2016;Page    6 Table  1;74120;74904;73902;74886;7412
$4,142,300.00;7/13/2016;Page    6 Table  1;74263;75687;74125;74676;74263
$5,623,700.00;7/12/2016;Page    6 Table  1;74821;75734;74033;75686;74821
$3,195,300.00;7/11/2016;Page    6 Table  1;75378;75590;74700;75000;75378
$3,429,200.00;7/8/2016;Page    6 Table  1;74581;74610;73800;74014;74581
